Stock,Rank,Latest_Price,1M_Return_Normalized,3M_Return_Normalized,6M_Return_Normalized,Strength_Score_Normalized,20_MA,20_MAV,Liquidity
JAIBALAJI,1,152.02999877929688,54.0,34.0,43.0,59.0,136.18800086975097,1094943.0,149118098.23632774
CUPID,2,58.42250061035156,58.0,60.0,21.0,47.0,47.29799976348877,1990799.0,94160810.63115367
UNITECH,3,7.0,47.0,55.0,23.0,45.0,7.137499976158142,12113706.4,86461579.14118673
INOXWIND,4,131.08749389648438,69.0,58.0,13.0,41.0,104.14562454223633,15462268.2,1610327578.5285604
VLEGOV,5,66.30000305175781,100.0,41.0,9.0,40.0,38.32750005722046,2526419.8,96831355.0290629
GALLANTT,6,178.2917938232422,83.0,42.0,12.0,39.0,126.45002365112305,1239620.45,156750035.2209158
ESSARSHPNG,7,33.599998474121094,71.0,48.0,12.0,38.0,30.194999790191652,2201034.45,66460234.7559546
SKYGOLD,8,99.65499877929688,33.0,65.0,15.0,38.0,108.91550025939941,1171288.5,127571472.92558154
ARSHIYA,9,8.350000381469727,94.0,39.0,7.0,36.0,6.760000014305115,1892470.7,12793101.95907201
HINDCON,10,54.94053268432617,66.0,44.0,13.0,36.0,45.234872817993164,940099.0,42525258.701322556
RHFL,11,4.449999809265137,87.0,49.0,6.0,36.0,3.0900000095367433,5847225.2,18067925.923763487
PRAKASHSTL,12,10.100000381469728,82.0,37.0,10.0,35.0,7.6,3150725.35,23945512.66
IWEL,13,5629.5498046875,58.0,49.0,11.0,34.0,4749.754992675781,19224.0,91309289.97919922
MANGLMCEM,14,748.0282592773438,65.0,42.0,10.0,33.0,612.8290893554688,498571.8,305539302.1723169
PCJEWELLER,15,5.025000095367432,79.0,39.0,8.0,33.0,3.8222500324249267,185038512.5,707263460.4029852
AAKASH,16,12.050000190734863,72.0,42.0,9.0,33.0,10.957500052452087,2007896.65,22001527.64769337
SANDUMA,17,457.25140380859375,77.0,37.0,7.0,32.0,387.12973937988284,1107326.7,428679096.7793857
CONSOFINVT,18,329.79998779296875,49.0,47.0,10.0,31.0,300.0649978637695,118809.15,35650467.34094627
HINDCOPPER,19,270.72003173828125,67.0,34.0,10.0,31.0,206.99613571166992,26342596.45,5452815669.761954
V2RETAIL,20,315.3999938964844,60.0,39.0,10.0,31.0,263.1199981689453,54981.75,14466797.959325409
INOXGREEN,21,112.6999969482422,68.0,36.0,8.0,31.0,96.8174991607666,10341092.4,1001198704.75841
KESORAMIND,22,176.75,48.0,42.0,12.0,31.0,165.86749877929688,4169650.7,691609532.3923444
PREMEXPLN,23,311.8374938964844,45.0,31.0,15.0,31.0,313.8361328125,216074.0,67811828.56132813
NLCINDIA,24,245.6549835205078,59.0,39.0,10.0,31.0,207.16462173461915,8705129.85,1803394932.525992
CYBERMEDIA,25,30.799999237060547,76.0,34.0,8.0,31.0,26.617499923706056,428356.5,11401779.106068993
OMINFRAL,26,148.81314086914062,53.0,34.0,13.0,31.0,131.48650131225585,155591.5,20458181.968925856
JAICORPLTD,27,406.62347412109375,54.0,40.0,10.0,30.0,350.9955123901367,1668912.0,585780622.5740478
GMRP&UI,28,54.25,54.0,32.0,12.0,30.0,50.400000381469724,10746174.75,541607211.4993403
IREDA,29,104.6500015258789,72.0,35.0,7.0,30.0,95.43250026702881,108722151.55,10375626756.827322
IRFC,30,98.84874725341795,56.0,26.0,13.0,30.0,88.16146316528321,153643327.4,13545420549.166649
SURYAROSNI,31,397.4307861328125,68.0,33.0,9.0,30.0,284.91211090087893,2116435.5,602998105.8905572
WEBELSOLAR,32,249.1000061035156,51.0,34.0,12.0,30.0,242.43250122070313,524539.25,127165362.3659317
VERTOZ,33,23.767499923706055,59.0,33.0,9.0,29.0,20.59312505722046,10529788.0,216841241.1100193
SPCENET,34,35.70000076293945,61.0,31.0,9.0,29.0,30.225000190734864,3618688.15,109374850.02396
NAGAFERT,35,14.149999618530272,73.0,34.0,6.0,29.0,10.790000009536744,6223745.0,67154208.60935426
HUDCO,36,124.79341888427734,64.0,28.0,10.0,29.0,101.00436553955078,50987481.8,5149958249.668392
